T,overlap_N4_d3,error_N4_d3,overlap_N4_d5,error_N4_d5,overlap_N6_d3,error_N6_d3,overlap_N6_d5,error_N6_d5
10.00000000,0.91466499,9.06809472e-02,0.91466499,9.06809472e-02,0.86980823,8.48976139e-02,0.86977371,8.53794178e-02
20.00000000,0.99491943,5.40602840e-03,0.99491943,5.40602840e-03,0.99130565,4.87291389e-03,0.99130070,4.90809540e-03
30.00000000,0.99989157,1.17509896e-04,0.99989157,1.17509896e-04,0.99980583,1.09301657e-04,0.99980614,1.09752266e-04
40.00000000,0.99998013,2.16717489e-05,0.99998013,2.16717489e-05,0.99996840,1.91375841e-05,0.99996826,1.93124281e-05
50.00000000,0.99999625,5.29653009e-06,0.99999625,5.29653009e-06,0.99999279,6.04735948e-06,0.99999220,6.50714325e-06
60.00000000,0.99999144,1.12225823e-05,0.99999144,1.12225823e-05,0.99999029,8.88780105e-06,0.99999096,8.39884648e-06
70.00000000,0.99999035,1.30698213e-05,0.99999035,1.30698213e-05,0.99998160,1.59391888e-05,0.99998357,1.31183446e-05
80.00000000,0.99998152,2.50109382e-05,0.99998152,2.50109382e-05,0.99996691,2.54159259e-05,0.99996882,2.32304302e-05
90.00000000,0.99997381,3.44397386e-05,0.99997381,3.44397386e-05,0.99994798,3.98018295e-05,0.99995696,3.09111598e-05
100.00000000,0.99995335,4.81169834e-05,0.99995335,4.81169834e-05,0.99994086,4.50904407e-05,0.99994081,4.33929544e-05
